Step	dt	Time	fEnd_x	fEnd_y	fEnd_z	dy_tip	
0	1e-16	0	0	0	0	-4.942e-07	
1	1e-16	0	0	-500	0	-4.942e-07	
2	0.00139642	1e-16	0	-500	0	-0.000650452	
3	0.00139642	0.00139642	0	-500	0	-0.00161756	
4	0.00139642	0.00279285	0	-500	0	-0.00266658	
5	0.00139618	0.00418927	0	-500	0	-0.003667	
6	0.00139459	0.00558545	0	-500	0	-0.00456932	
7	0.00139143	0.00698003	0	-500	0	-0.00537433	
8	0.00138764	0.00837147	0	-500	0	-0.0061012	
9	0.00138456	0.00975911	0	-500	0	-0.00676548	
10	0.00138257	0.0111437	0	-500	0	-0.00737149	
11	0.00138149	0.0125262	0	-500	0	-0.00791627	
12	0.00138089	0.0139077	0	-500	0	-0.0083979	
13	0.00138027	0.0152886	0	-500	0	-0.00882172	
14	0.00137937	0.0166689	0	-500	0	-0.00920118	
15	0.00137818	0.0180483	0	-500	0	-0.00955357	
16	0.00137687	0.0194264	0	-500	0	-0.00989359	
17	0.00137566	0.0208033	0	-500	0	-0.0102281	
18	0.00137471	0.022179	0	-500	0	-0.0105545	
19	0.00137403	0.0235537	0	-500	0	-0.0108622	
20	0.00137341	0.0249277	0	-500	0	-0.0111368	
21	0.00137268	0.0263011	0	-500	0	-0.0113654	
22	0.00137182	0.0276738	0	-500	0	-0.0115391	
23	0.00137083	0.0290456	0	-500	0	-0.0116552	
24	0.00136979	0.0304165	0	-500	0	-0.0117166	
25	0.00136881	0.0317862	0	-500	0	-0.01173	
26	0.00136798	0.0331551	0	-500	0	-0.0117043	
27	0.00136732	0.034523	0	-500	0	-0.0116493	
28	0.00136679	0.0358903	0	-500	0	-0.0115748	
29	0.00136634	0.0372571	0	-500	0	-0.0114907	
30	0.00136587	0.0386235	0	-500	0	-0.0114064	
31	0.00136534	0.0399893	0	-500	0	-0.0113305	
32	0.00136473	0.0413547	0	-500	0	-0.0112704	
33	0.00136408	0.0427194	0	-500	0	-0.011231	
34	0.00136341	0.0440835	0	-500	0	-0.0112147	
35	0.00136276	0.0454469	0	-500	0	-0.0112212	
36	0.00136215	0.0468097	0	-500	0	-0.0112477	
37	0.00136157	0.0481718	0	-500	0	-0.0112899	
38	0.00136104	0.0495334	0	-500	0	-0.0113431	
39	0.00136052	0.0508944	0	-500	0	-0.011403	
40	0.00136002	0.0522549	0	-500	0	-0.0114662	
41	0.00135955	0.053615	0	-500	0	-0.0115311	
42	0.0013591	0.0549745	0	-500	0	-0.0115976	
43	0.00135869	0.0563336	0	-500	0	-0.0116667	
44	0.00135832	0.0576923	0	-500	0	-0.0117408	
45	0.00135799	0.0590506	0	-500	0	-0.0118227	
46	0.00135769	0.0604086	0	-500	0	-0.0119154	
47	0.0013574	0.0617663	0	-500	0	-0.0120218	
48	0.00135713	0.0631237	0	-500	0	-0.0121444	
49	0.00135685	0.0644808	0	-500	0	-0.0122847	
50	0.00135658	0.0658377	0	-500	0	-0.0124432	
51	0.0013563	0.0671943	0	-500	0	-0.0126194	
52	0.00135602	0.0685506	0	-500	0	-0.0128116	
53	0.00135576	0.0699066	0	-500	0	-0.013017	
54	0.00135549	0.0712623	0	-500	0	-0.0132323	
55	0.00135524	0.0726178	0	-500	0	-0.0134538	
56	0.001355	0.0739731	0	-500	0	-0.0136776	
57	0.00135477	0.0753281	0	-500	0	-0.0139005	
58	0.00135455	0.0766828	0	-500	0	-0.0141194	
59	0.00135435	0.0780374	0	-500	0	-0.0143326	
60	0.00135415	0.0793917	0	-500	0	-0.0145388	
61	0.00135397	0.0807459	0	-500	0	-0.0147378	
62	0.00135381	0.0820999	0	-500	0	-0.01493	
63	0.00135365	0.0834537	0	-500	0	-0.0151164	
64	0.00135351	0.0848073	0	-500	0	-0.0152982	
65	0.00135337	0.0861608	0	-500	0	-0.0154769	
66	0.00135323	0.0875142	0	-500	0	-0.0156539	
67	0.00135309	0.0888674	0	-500	0	-0.0158303	
68	0.00135294	0.0902205	0	-500	0	-0.0160069	
69	0.0013528	0.0915735	0	-500	0	-0.0161839	
70	0.00135265	0.0929263	0	-500	0	-0.0163612	
71	0.00135251	0.0942789	0	-500	0	-0.0165386	
72	0.00135237	0.0956314	0	-500	0	-0.0167152	
73	0.00135223	0.0969838	0	-500	0	-0.0168903	
74	0.0013521	0.098336	0	-500	0	-0.017063	
75	0.00135199	0.0996881	0	-500	0	-0.0172326	
76	0.00135188	0.10104	0	-500	0	-0.0173987	
77	0.00135179	0.102392	0	-500	0	-0.017561	
78	0.00135172	0.103744	0	-500	0	-0.0177197	
79	0.00135165	0.105096	0	-500	0	-0.017875	
80	0.0013516	0.106447	0	-500	0	-0.0180275	
81	0.00135155	0.107799	0	-500	0	-0.0181779	
82	0.00135151	0.10915	0	-500	0	-0.0183267	
83	0.00135148	0.110502	0	-500	0	-0.0184747	
84	0.00135144	0.111853	0	-500	0	-0.0186221	
85	0.00135141	0.113205	0	-500	0	-0.0187694	
86	0.0013511	0.114556	0	-500	0	-0.0189163	
87	0.00135078	0.115907	0	-500	0	-0.0190628	
88	0.00135045	0.117258	0	-500	0	-0.0192085	
89	0.00135013	0.118608	0	-500	0	-0.0193528	
90	0.0013498	0.119959	0	-500	0	-0.0194952	
91	0.00134947	0.121308	0	-500	0	-0.0196352	
92	0.00134914	0.122658	0	-500	0	-0.0197726	
93	0.00134882	0.124007	0	-500	0	-0.0199071	
94	0.00134849	0.125356	0	-500	0	-0.0200388	
95	0.00134817	0.126704	0	-500	0	-0.0201681	
96	0.00134786	0.128053	0	-500	0	-0.0202955	
97	0.00134754	0.1294	0	-500	0	-0.0204219	
98	0.00134723	0.130748	0	-500	0	-0.0205483	
99	0.00134692	0.132095	0	-500	0	-0.0206757	
100	0.00134661	0.133442	0	-500	0	-0.0208053	
101	0.00134629	0.134789	0	-500	0	-0.0209382	
102	0.00134598	0.136135	0	-500	0	-0.0210753	
103	0.00134566	0.137481	0	-500	0	-0.0212174	
104	0.00134534	0.138827	0	-500	0	-0.0213652	
105	0.00134502	0.140172	0	-500	0	-0.0215191	
106	0.0013447	0.141517	0	-500	0	-0.0216792	
107	0.00134438	0.142862	0	-500	0	-0.0218456	
108	0.00134405	0.144206	0	-500	0	-0.022018	
109	0.00134373	0.14555	0	-500	0	-0.0221961	
110	0.0013434	0.146894	0	-500	0	-0.0223793	
111	0.00134308	0.148237	0	-500	0	-0.022567	
112	0.00134275	0.14958	0	-500	0	-0.0227588	
113	0.00134243	0.150923	0	-500	0	-0.0229538	
114	0.00134211	0.152265	0	-500	0	-0.0231514	
115	0.00134179	0.153608	0	-500	0	-0.0233511	
116	0.00134147	0.154949	0	-500	0	-0.0235521	
117	0.00134115	0.156291	0	-500	0	-0.023754	
118	0.00134084	0.157632	0	-500	0	-0.0239563	
119	0.00134052	0.158973	0	-500	0	-0.0241584	
120	0.0013402	0.160313	0	-500	0	-0.0243599	
121	0.00133989	0.161654	0	-500	0	-0.0245605	
122	0.00133957	0.162993	0	-500	0	-0.0247599	
123	0.00133926	0.164333	0	-500	0	-0.0249578	
124	0.00133894	0.165672	0	-500	0	-0.0251541	
125	0.00133863	0.167011	0	-500	0	-0.0253485	
126	0.00133831	0.16835	0	-500	0	-0.0255412	
127	0.001338	0.169688	0	-500	0	-0.0257319	
128	0.00133769	0.171026	0	-500	0	-0.0259208	
129	0.00133737	0.172364	0	-500	0	-0.0261081	
130	0.00133706	0.173701	0	-500	0	-0.0262937	
131	0.00133676	0.175038	0	-500	0	-0.0264779	
132	0.00133645	0.176375	0	-500	0	-0.0266609	
133	0.00133614	0.177711	0	-500	0	-0.0268427	
134	0.00133584	0.179048	0	-500	0	-0.0270237	
135	0.00133553	0.180383	0	-500	0	-0.027204	
136	0.00133523	0.181719	0	-500	0	-0.0273837	
137	0.00133493	0.183054	0	-500	0	-0.0275628	
138	0.00133463	0.184389	0	-500	0	-0.0277416	
139	0.00133433	0.185724	0	-500	0	-0.0279199	
140	0.00133403	0.187058	0	-500	0	-0.028098	
141	0.00133373	0.188392	0	-500	0	-0.0282757	
142	0.00133343	0.189726	0	-500	0	-0.0284531	
143	0.00133313	0.191059	0	-500	0	-0.0286302	
144	0.00133284	0.192392	0	-500	0	-0.028807	
145	0.00133254	0.193725	0	-500	0	-0.0289836	
146	0.00133224	0.195058	0	-500	0	-0.02916	
147	0.00133195	0.19639	0	-500	0	-0.0293364	
148	0.00133165	0.197722	0	-500	0	-0.0295128	
149	0.00133136	0.199054	0	-500	0	-0.0296894	
150	0.00133107	0.200385	0	-500	0	-0.0298666	
151	0.00133077	0.201716	0	-500	0	-0.0300444	
152	0.00133048	0.203047	0	-500	0	-0.0302232	
