Step	dt	Time	fEnd_x	fEnd_y	fEnd_z	dy_tip	
0	1e-16	0	0	0	0	-4.942e-07	
1	1e-16	0	0	-500	0	-4.942e-07	
2	0.00139642	1e-16	0	-500	0	-0.000376168	
3	0.00139642	0.00139642	0	-500	0	-0.000918337	
4	0.00139636	0.00279285	0	-500	0	-0.00146256	
5	0.00139563	0.00418921	0	-500	0	-0.00193794	
6	0.00139372	0.00558484	0	-500	0	-0.00234396	
7	0.00139275	0.00697856	0	-500	0	-0.00269438	
8	0.00139324	0.00837131	0	-500	0	-0.00298602	
9	0.00139281	0.00976454	0	-500	0	-0.00320949	
10	0.00139255	0.0111573	0	-500	0	-0.00337314	
11	0.00139262	0.0125499	0	-500	0	-0.00350462	
12	0.0013928	0.0139425	0	-500	0	-0.00362902	
13	0.00139298	0.0153353	0	-500	0	-0.00374826	
14	0.00139322	0.0167283	0	-500	0	-0.00384332	
15	0.00139359	0.0181215	0	-500	0	-0.0038954	
16	0.00139391	0.0195151	0	-500	0	-0.00390446	
17	0.00139416	0.020909	0	-500	0	-0.00388853	
18	0.00139435	0.0223032	0	-500	0	-0.00386829	
19	0.00139445	0.0236975	0	-500	0	-0.00385427	
20	0.00139442	0.025092	0	-500	0	-0.0038473	
21	0.00139442	0.0264864	0	-500	0	-0.00384762	
22	0.00139449	0.0278808	0	-500	0	-0.00386017	
23	0.00139454	0.0292753	0	-500	0	-0.00389077	
24	0.00139451	0.0306699	0	-500	0	-0.00393869	
25	0.00139445	0.0320644	0	-500	0	-0.00399489	
26	0.00139439	0.0334588	0	-500	0	-0.00404815	
27	0.00139435	0.0348532	0	-500	0	-0.00409286	
28	0.00139435	0.0362476	0	-500	0	-0.00413112	
29	0.00139438	0.0376419	0	-500	0	-0.00416813	
30	0.00139434	0.0390363	0	-500	0	-0.00420632	
31	0.00139427	0.0404306	0	-500	0	-0.00424399	
32	0.00139423	0.0418249	0	-500	0	-0.00427842	
33	0.00139424	0.0432191	0	-500	0	-0.00430926	
34	0.00139428	0.0446134	0	-500	0	-0.00433843	
35	0.0013943	0.0460076	0	-500	0	-0.00436719	
36	0.00139432	0.0474019	0	-500	0	-0.00439403	
37	0.00139432	0.0487963	0	-500	0	-0.00441588	
38	0.0013943	0.0501906	0	-500	0	-0.00443127	
39	0.0013943	0.0515849	0	-500	0	-0.00444237	
40	0.00139431	0.0529792	0	-500	0	-0.00445398	
41	0.00139432	0.0543735	0	-500	0	-0.00447086	
42	0.00139432	0.0557678	0	-500	0	-0.00449601	
43	0.00139433	0.0571621	0	-500	0	-0.00453111	
44	0.00139437	0.0585565	0	-500	0	-0.00457791	
45	0.00139443	0.0599508	0	-500	0	-0.00463872	
46	0.00139446	0.0613453	0	-500	0	-0.00471524	
47	0.00139448	0.0627397	0	-500	0	-0.00480715	
48	0.00139451	0.0641342	0	-500	0	-0.00491186	
49	0.00139456	0.0655287	0	-500	0	-0.00502575	
50	0.00139459	0.0669233	0	-500	0	-0.0051458	
51	0.00139461	0.0683179	0	-500	0	-0.00527014	
52	0.0013946	0.0697125	0	-500	0	-0.00539748	
53	0.0013946	0.0711071	0	-500	0	-0.00552627	
54	0.00139461	0.0725017	0	-500	0	-0.00565455	
55	0.00139457	0.0738963	0	-500	0	-0.00578064	
56	0.00139454	0.0752909	0	-500	0	-0.00590376	
57	0.0013945	0.0766854	0	-500	0	-0.00602405	
58	0.00139446	0.0780799	0	-500	0	-0.00614202	
59	0.00139442	0.0794744	0	-500	0	-0.00625805	
60	0.00139437	0.0808688	0	-500	0	-0.00637249	
61	0.00139433	0.0822632	0	-500	0	-0.00648614	
62	0.0013943	0.0836575	0	-500	0	-0.00660052	
63	0.00139428	0.0850518	0	-500	0	-0.00671767	
64	0.00139428	0.0864461	0	-500	0	-0.00683949	
65	0.00139429	0.0878403	0	-500	0	-0.00696735	
66	0.0013943	0.0892346	0	-500	0	-0.00710203	
67	0.00139432	0.0906289	0	-500	0	-0.0072438	
68	0.00139433	0.0920233	0	-500	0	-0.00739256	
69	0.00139435	0.0934176	0	-500	0	-0.00754754	
70	0.00139437	0.0948119	0	-500	0	-0.00770709	
71	0.00139438	0.0962063	0	-500	0	-0.00786872	
72	0.00139438	0.0976007	0	-500	0	-0.00802944	
73	0.00139438	0.0989951	0	-500	0	-0.00818637	
74	0.00139437	0.100389	0	-500	0	-0.00833711	
75	0.00139435	0.101784	0	-500	0	-0.00847984	
76	0.00139434	0.103178	0	-500	0	-0.00861329	
77	0.00139433	0.104573	0	-500	0	-0.00873679	
78	0.00139433	0.105967	0	-500	0	-0.00885035	
79	0.00139433	0.107361	0	-500	0	-0.00895477	
80	0.00139433	0.108755	0	-500	0	-0.00905157	
81	0.00139434	0.11015	0	-500	0	-0.00914268	
82	0.00139435	0.111544	0	-500	0	-0.00923011	
83	0.00139436	0.112939	0	-500	0	-0.00931571	
84	0.00139437	0.114333	0	-500	0	-0.00940107	
85	0.00139438	0.115727	0	-500	0	-0.00948743	
86	0.00139439	0.117122	0	-500	0	-0.0095757	
87	0.00139439	0.118516	0	-500	0	-0.0096663	
88	0.00139439	0.11991	0	-500	0	-0.00975918	
89	0.0013944	0.121305	0	-500	0	-0.00985389	
90	0.00139441	0.122699	0	-500	0	-0.00994978	
91	0.00139441	0.124094	0	-500	0	-0.0100463	
92	0.00139441	0.125488	0	-500	0	-0.010143	
93	0.00139442	0.126882	0	-500	0	-0.01024	
94	0.00139443	0.128277	0	-500	0	-0.0103374	
95	0.00139444	0.129671	0	-500	0	-0.010436	
96	0.00139445	0.131066	0	-500	0	-0.0105366	
97	0.00139447	0.13246	0	-500	0	-0.0106403	
98	0.00139449	0.133855	0	-500	0	-0.0107482	
99	0.0013945	0.135249	0	-500	0	-0.0108612	
100	0.00139451	0.136644	0	-500	0	-0.0109799	
101	0.00139451	0.138038	0	-500	0	-0.0111043	
102	0.0013945	0.139433	0	-500	0	-0.0112343	
103	0.00139448	0.140827	0	-500	0	-0.0113694	
104	0.00139445	0.142222	0	-500	0	-0.0115089	
105	0.00139441	0.143616	0	-500	0	-0.011652	
106	0.00139438	0.14501	0	-500	0	-0.011798	
107	0.00139435	0.146405	0	-500	0	-0.0119463	
108	0.00139433	0.147799	0	-500	0	-0.0120964	
109	0.00139432	0.149194	0	-500	0	-0.0122483	
110	0.00139432	0.150588	0	-500	0	-0.0124019	
111	0.00139433	0.151982	0	-500	0	-0.0125573	
112	0.00139435	0.153377	0	-500	0	-0.0127148	
113	0.00139438	0.154771	0	-500	0	-0.0128743	
114	0.00139441	0.156165	0	-500	0	-0.0130358	
115	0.00139444	0.15756	0	-500	0	-0.0131991	
116	0.00139447	0.158954	0	-500	0	-0.0133637	
117	0.00139448	0.160349	0	-500	0	-0.0135289	
118	0.00139448	0.161743	0	-500	0	-0.0136939	
119	0.00139447	0.163138	0	-500	0	-0.013858	
120	0.00139445	0.164532	0	-500	0	-0.0140203	
121	0.00139444	0.165926	0	-500	0	-0.0141801	
122	0.00139442	0.167321	0	-500	0	-0.0143369	
123	0.00139441	0.168715	0	-500	0	-0.0144904	
124	0.00139439	0.17011	0	-500	0	-0.0146405	
125	0.00139437	0.171504	0	-500	0	-0.0147874	
126	0.00139435	0.172898	0	-500	0	-0.0149315	
127	0.00139434	0.174293	0	-500	0	-0.015073	
128	0.00139433	0.175687	0	-500	0	-0.0152126	
129	0.00139433	0.177081	0	-500	0	-0.0153507	
130	0.00139433	0.178476	0	-500	0	-0.0154877	
131	0.00139434	0.17987	0	-500	0	-0.0156238	
132	0.00139435	0.181264	0	-500	0	-0.0157592	
133	0.00139436	0.182659	0	-500	0	-0.0158941	
134	0.00139437	0.184053	0	-500	0	-0.0160286	
135	0.00139438	0.185448	0	-500	0	-0.0161627	
136	0.00139439	0.186842	0	-500	0	-0.0162966	
137	0.0013944	0.188236	0	-500	0	-0.0164307	
138	0.00139441	0.189631	0	-500	0	-0.0165652	
139	0.00139442	0.191025	0	-500	0	-0.0167009	
140	0.00139443	0.19242	0	-500	0	-0.0168383	
141	0.00139444	0.193814	0	-500	0	-0.0169781	
142	0.00139445	0.195208	0	-500	0	-0.0171212	
143	0.00139446	0.196603	0	-500	0	-0.0172682	
144	0.00139447	0.197997	0	-500	0	-0.0174199	
145	0.00139447	0.199392	0	-500	0	-0.0175768	
146	0.00139447	0.200786	0	-500	0	-0.0177393	
147	0.00139447	0.202181	0	-500	0	-0.0179077	
148	0.00139446	0.203575	0	-500	0	-0.0180818	
149	0.00139444	0.20497	0	-500	0	-0.0182614	
150	0.00139442	0.206364	0	-500	0	-0.018446	
151	0.0013944	0.207759	0	-500	0	-0.0186348	
152	0.00139437	0.209153	0	-500	0	-0.0188268	
