Step	dt	Time	fEnd_x	fEnd_y	fEnd_z	dy_tip	
0	1e-16	0	0	0	0	1.19209e-08	
1	1e-16	0	0	-500	0	1.19209e-08	
2	0.00139642	1e-16	0	-500	0	-0.000126611	
3	0.00139642	0.00139642	0	-500	0	-0.000288799	
4	0.00139626	0.00279285	0	-500	0	-0.000479365	
5	0.00139606	0.00418911	0	-500	0	-0.000687642	
6	0.00139581	0.00558517	0	-500	0	-0.000903924	
7	0.00139552	0.00698098	0	-500	0	-0.00112033	
8	0.00139522	0.0083765	0	-500	0	-0.00133102	
9	0.00139493	0.00977172	0	-500	0	-0.00153215	
10	0.00139467	0.0111666	0	-500	0	-0.00172155	
11	0.00139446	0.0125613	0	-500	0	-0.00189837	
12	0.0013943	0.0139558	0	-500	0	-0.00206276	
13	0.00139418	0.0153501	0	-500	0	-0.00221547	
14	0.0013941	0.0167443	0	-500	0	-0.00235763	
15	0.00139404	0.0181384	0	-500	0	-0.00249048	
16	0.00139398	0.0195324	0	-500	0	-0.0026152	
17	0.00139392	0.0209264	0	-500	0	-0.0027328	
18	0.00139386	0.0223203	0	-500	0	-0.00284403	
19	0.00139379	0.0237142	0	-500	0	-0.00294931	
20	0.00139371	0.025108	0	-500	0	-0.00304872	
21	0.00139363	0.0265017	0	-500	0	-0.00314204	
22	0.00139355	0.0278953	0	-500	0	-0.00322877	
23	0.00139348	0.0292888	0	-500	0	-0.00330828	
24	0.00139343	0.0306823	0	-500	0	-0.00337982	
25	0.00139339	0.0320758	0	-500	0	-0.00344274	
26	0.00139336	0.0334691	0	-500	0	-0.0034965	
27	0.00139334	0.0348625	0	-500	0	-0.00354083	
28	0.00139334	0.0362558	0	-500	0	-0.0035758	
29	0.00139334	0.0376492	0	-500	0	-0.00360179	
30	0.00139335	0.0390425	0	-500	0	-0.00361954	
31	0.00139336	0.0404359	0	-500	0	-0.00363012	
32	0.00139337	0.0418292	0	-500	0	-0.00363484	
33	0.00139338	0.0432226	0	-500	0	-0.00363519	
34	0.0013934	0.044616	0	-500	0	-0.00363275	
35	0.00139341	0.0460094	0	-500	0	-0.00362914	
36	0.00139342	0.0474028	0	-500	0	-0.0036259	
37	0.00139342	0.0487962	0	-500	0	-0.00362449	
38	0.00139343	0.0501896	0	-500	0	-0.0036262	
39	0.00139344	0.0515831	0	-500	0	-0.00363216	
40	0.00139344	0.0529765	0	-500	0	-0.00364333	
41	0.00139345	0.0543699	0	-500	0	-0.00366048	
42	0.00139345	0.0557634	0	-500	0	-0.00368421	
43	0.00139345	0.0571568	0	-500	0	-0.00371495	
44	0.00139345	0.0585503	0	-500	0	-0.00375301	
45	0.00139345	0.0599437	0	-500	0	-0.00379853	
46	0.00139345	0.0613372	0	-500	0	-0.00385154	
47	0.00139345	0.0627307	0	-500	0	-0.00391195	
48	0.00139345	0.0641241	0	-500	0	-0.00397958	
49	0.00139345	0.0655176	0	-500	0	-0.00405415	
50	0.00139345	0.066911	0	-500	0	-0.00413531	
51	0.00139345	0.0683045	0	-500	0	-0.00422268	
52	0.00139344	0.0696979	0	-500	0	-0.0043158	
53	0.00139344	0.0710914	0	-500	0	-0.00441424	
54	0.00139344	0.0724848	0	-500	0	-0.00451754	
55	0.00139343	0.0738782	0	-500	0	-0.00462528	
56	0.00139342	0.0752717	0	-500	0	-0.00473707	
57	0.00139342	0.0766651	0	-500	0	-0.00485257	
58	0.00139341	0.0780585	0	-500	0	-0.00497149	
59	0.0013934	0.0794519	0	-500	0	-0.00509359	
60	0.0013934	0.0808453	0	-500	0	-0.00521867	
61	0.00139339	0.0822387	0	-500	0	-0.0053466	
62	0.00139338	0.0836321	0	-500	0	-0.00547725	
