Step	dt	Time	fEnd_x	fEnd_y	fEnd_z	dy_tip	
0	1e-16	0	0	0	0	-2.471e-07	
1	1e-16	0	0	-1300	0	-2.471e-07	
2	0.000698212	1e-16	0	-1300	0	-0.00102351	
3	0.000698212	0.000698212	0	-1300	0	-0.00211097	
4	0.000698037	0.00139642	0	-1300	0	-0.00321719	
5	0.000697036	0.00209446	0	-1300	0	-0.00430204	
6	0.000694951	0.0027915	0	-1300	0	-0.00533208	
7	0.000693315	0.00348645	0	-1300	0	-0.00628542	
8	0.000692318	0.00417976	0	-1300	0	-0.00714998	
9	0.000691571	0.00487208	0	-1300	0	-0.00792189	
10	0.000690824	0.00556365	0	-1300	0	-0.0086038	
11	0.000689777	0.00625447	0	-1300	0	-0.00920243	
12	0.000689073	0.00694425	0	-1300	0	-0.00972677	
13	0.000688674	0.00763332	0	-1300	0	-0.0101855	
14	0.00068852	0.008322	0	-1300	0	-0.0105856	
15	0.000688552	0.00901052	0	-1300	0	-0.0109318	
16	0.000688726	0.00969907	0	-1300	0	-0.0112266	
17	0.000689011	0.0103878	0	-1300	0	-0.0114707	
18	0.000689386	0.0110768	0	-1300	0	-0.011664	
19	0.000689835	0.0117662	0	-1300	0	-0.0118062	
20	0.000690338	0.012456	0	-1300	0	-0.0118986	
21	0.000690874	0.0131464	0	-1300	0	-0.0119439	
22	0.000691345	0.0138372	0	-1300	0	-0.0119474	
23	0.000691737	0.0145286	0	-1300	0	-0.0119163	
24	0.000692126	0.0152203	0	-1300	0	-0.0118595	
25	0.000692495	0.0159124	0	-1300	0	-0.0117871	
26	0.00069273	0.0166049	0	-1300	0	-0.0117092	
27	0.000692901	0.0172977	0	-1300	0	-0.0116353	
28	0.000693034	0.0179906	0	-1300	0	-0.0115736	
29	0.000693134	0.0186836	0	-1300	0	-0.0115301	
30	0.000693202	0.0193767	0	-1300	0	-0.011509	
31	0.000693242	0.0200699	0	-1300	0	-0.0115119	
32	0.000693255	0.0207632	0	-1300	0	-0.0115389	
33	0.000693244	0.0214564	0	-1300	0	-0.0115883	
34	0.000693211	0.0221497	0	-1300	0	-0.0116573	
