Step	dt	Time	fbody_x	fbody_y	fbody_z	dy_tip	
0	1e-16	0	0	0	0	2.471e-07	
1	1e-16	0	0	-1.05e+06	0	2.471e-07	
2	0.000279285	1e-16	0	-1.05e+06	0	-7.77529e-05	
3	0.00027914	0.000279285	0	-1.05e+06	0	-0.000233631	
4	0.000278858	0.000558424	0	-1.05e+06	0	-0.000467114	
5	0.000278448	0.000837283	0	-1.05e+06	0	-0.000777787	
6	0.000277919	0.00111573	0	-1.05e+06	0	-0.00116511	
7	0.000277279	0.00139365	0	-1.05e+06	0	-0.00162842	
8	0.000276538	0.00167093	0	-1.05e+06	0	-0.00216697	
9	0.000275707	0.00194747	0	-1.05e+06	0	-0.00277992	
10	0.000274795	0.00222317	0	-1.05e+06	0	-0.00346635	
11	0.000273814	0.00249797	0	-1.05e+06	0	-0.0042253	
12	0.000272772	0.00277178	0	-1.05e+06	0	-0.00505577	
13	0.000271679	0.00304455	0	-1.05e+06	0	-0.00595672	
14	0.000270546	0.00331623	0	-1.05e+06	0	-0.00692711	
15	0.00026938	0.00358678	0	-1.05e+06	0	-0.00796588	
16	0.000268189	0.00385616	0	-1.05e+06	0	-0.00907198	
17	0.000266981	0.00412435	0	-1.05e+06	0	-0.0102444	
18	0.000265761	0.00439133	0	-1.05e+06	0	-0.0114821	
19	0.000264537	0.00465709	0	-1.05e+06	0	-0.012784	
20	0.000263311	0.00492163	0	-1.05e+06	0	-0.0141493	
21	0.000262089	0.00518494	0	-1.05e+06	0	-0.0155769	
22	0.000260874	0.00544703	0	-1.05e+06	0	-0.0170659	
23	0.000259668	0.0057079	0	-1.05e+06	0	-0.0186155	
24	0.000258474	0.00596757	0	-1.05e+06	0	-0.0202248	
25	0.000257294	0.00622604	0	-1.05e+06	0	-0.0218929	
26	0.000256128	0.00648334	0	-1.05e+06	0	-0.0236191	
27	0.000254978	0.00673947	0	-1.05e+06	0	-0.0254025	
28	0.000253843	0.00699444	0	-1.05e+06	0	-0.0272424	
29	0.000252725	0.00724829	0	-1.05e+06	0	-0.0291381	
30	0.000251623	0.00750101	0	-1.05e+06	0	-0.0310889	
31	0.000250537	0.00775264	0	-1.05e+06	0	-0.0330939	
32	0.000249467	0.00800317	0	-1.05e+06	0	-0.0351527	
33	0.000248412	0.00825264	0	-1.05e+06	0	-0.0372645	
34	0.000247371	0.00850105	0	-1.05e+06	0	-0.0394286	
35	0.000246345	0.00874842	0	-1.05e+06	0	-0.0416444	
36	0.000245333	0.00899477	0	-1.05e+06	0	-0.0439113	
37	0.000244333	0.0092401	0	-1.05e+06	0	-0.0462286	
38	0.000243346	0.00948443	0	-1.05e+06	0	-0.0485959	
