Step	dt	Time	fbody_x	fbody_y	fbody_z	dy_tip	
0	1e-16	0	0	0	0	2.471e-07	
1	1e-16	0	0	-1.05e+06	0	2.471e-07	
2	0.000279285	1e-16	0	-1.05e+06	0	-7.77529e-05	
3	0.000279134	0.000279285	0	-1.05e+06	0	-0.000233626	
4	0.000278841	0.000558418	0	-1.05e+06	0	-0.000467089	
5	0.000278417	0.00083726	0	-1.05e+06	0	-0.000777713	
6	0.000277871	0.00111568	0	-1.05e+06	0	-0.00116494	
7	0.000277211	0.00139355	0	-1.05e+06	0	-0.00162809	
8	0.00027645	0.00167076	0	-1.05e+06	0	-0.0021664	
9	0.000275596	0.00194721	0	-1.05e+06	0	-0.00277899	
10	0.000274662	0.00222281	0	-1.05e+06	0	-0.00346495	
11	0.000273658	0.00249747	0	-1.05e+06	0	-0.00422329	
12	0.000272594	0.00277112	0	-1.05e+06	0	-0.00505299	
13	0.00027148	0.00304372	0	-1.05e+06	0	-0.005953	
14	0.000270326	0.0033152	0	-1.05e+06	0	-0.00692226	
15	0.00026914	0.00358552	0	-1.05e+06	0	-0.00795971	
16	0.000267931	0.00385466	0	-1.05e+06	0	-0.00906428	
17	0.000266707	0.0041226	0	-1.05e+06	0	-0.0102349	
18	0.000265472	0.0043893	0	-1.05e+06	0	-0.0114706	
19	0.000264233	0.00465477	0	-1.05e+06	0	-0.0127704	
20	0.000262996	0.00491901	0	-1.05e+06	0	-0.0141333	
21	0.000261762	0.005182	0	-1.05e+06	0	-0.0155582	
22	0.000260537	0.00544377	0	-1.05e+06	0	-0.0170444	
23	0.000259323	0.0057043	0	-1.05e+06	0	-0.0185909	
24	0.000258121	0.00596363	0	-1.05e+06	0	-0.0201969	
25	0.000256934	0.00622175	0	-1.05e+06	0	-0.0218615	
26	0.000255762	0.00647868	0	-1.05e+06	0	-0.0235839	
27	0.000254606	0.00673444	0	-1.05e+06	0	-0.0253634	
28	0.000253467	0.00698905	0	-1.05e+06	0	-0.0271991	
29	0.000252344	0.00724252	0	-1.05e+06	0	-0.0290904	
30	0.000251238	0.00749486	0	-1.05e+06	0	-0.0310365	
31	0.000250148	0.0077461	0	-1.05e+06	0	-0.0330367	
32	0.000249074	0.00799625	0	-1.05e+06	0	-0.0350904	
33	0.000248015	0.00824532	0	-1.05e+06	0	-0.0371969	
34	0.000246971	0.00849334	0	-1.05e+06	0	-0.0393555	
35	0.000245941	0.00874031	0	-1.05e+06	0	-0.0415656	
36	0.000244925	0.00898625	0	-1.05e+06	0	-0.0438265	
37	0.000243921	0.00923117	0	-1.05e+06	0	-0.0461377	
38	0.000242931	0.00947509	0	-1.05e+06	0	-0.0484985	
