Step	dt	Time	fbody_x	fbody_y	fbody_z	dy_tip	
0	1e-16	0	0	0	0	1.44865e-07	
1	1e-16	0	0	-1.05e+06	0	1.44865e-07	
2	0.00018619	1e-16	0	-1.05e+06	0	-3.45218e-05	
3	0.000186125	0.00018619	0	-1.05e+06	0	-0.000103819	
4	0.000186	0.000372315	0	-1.05e+06	0	-0.000207666	
5	0.000185817	0.000558315	0	-1.05e+06	0	-0.000345938	
6	0.000185581	0.000744133	0	-1.05e+06	0	-0.000518475	
7	0.000185294	0.000929713	0	-1.05e+06	0	-0.00072508	
8	0.000184961	0.00111501	0	-1.05e+06	0	-0.000965523	
9	0.000184586	0.00129997	0	-1.05e+06	0	-0.00123955	
10	0.000184173	0.00148455	0	-1.05e+06	0	-0.00154688	
11	0.000183726	0.00166873	0	-1.05e+06	0	-0.00188723	
12	0.000183249	0.00185245	0	-1.05e+06	0	-0.00226027	
13	0.000182748	0.0020357	0	-1.05e+06	0	-0.00266569	
14	0.000182224	0.00221845	0	-1.05e+06	0	-0.00310315	
15	0.000181683	0.00240067	0	-1.05e+06	0	-0.00357232	
16	0.000181128	0.00258236	0	-1.05e+06	0	-0.00407286	
17	0.000180563	0.00276349	0	-1.05e+06	0	-0.00460445	
18	0.00017999	0.00294405	0	-1.05e+06	0	-0.00516675	
19	0.000179411	0.00312404	0	-1.05e+06	0	-0.00575942	
20	0.00017883	0.00330345	0	-1.05e+06	0	-0.00638216	
21	0.000178249	0.00348228	0	-1.05e+06	0	-0.00703464	
22	0.000177668	0.00366053	0	-1.05e+06	0	-0.00771657	
23	0.000177091	0.0038382	0	-1.05e+06	0	-0.00842764	
24	0.000176517	0.00401529	0	-1.05e+06	0	-0.00916756	
25	0.000175947	0.0041918	0	-1.05e+06	0	-0.00993606	
26	0.000175384	0.00436775	0	-1.05e+06	0	-0.0107329	
27	0.000174826	0.00454314	0	-1.05e+06	0	-0.0115577	
28	0.000174274	0.00471796	0	-1.05e+06	0	-0.0124103	
29	0.000173729	0.00489224	0	-1.05e+06	0	-0.0132904	
30	0.00017319	0.00506596	0	-1.05e+06	0	-0.0141977	
31	0.000172658	0.00523915	0	-1.05e+06	0	-0.0151321	
32	0.000172132	0.00541181	0	-1.05e+06	0	-0.0160933	
33	0.000171612	0.00558395	0	-1.05e+06	0	-0.017081	
34	0.000171098	0.00575556	0	-1.05e+06	0	-0.0180951	
35	0.000170589	0.00592666	0	-1.05e+06	0	-0.0191352	
36	0.000170086	0.00609724	0	-1.05e+06	0	-0.0202012	
37	0.000169587	0.00626733	0	-1.05e+06	0	-0.0212928	
38	0.000169093	0.00643692	0	-1.05e+06	0	-0.0224098	
39	0.000168603	0.00660601	0	-1.05e+06	0	-0.023552	
40	0.000168116	0.00677461	0	-1.05e+06	0	-0.0247192	
41	0.000167634	0.00694273	0	-1.05e+06	0	-0.0259112	
42	0.000167154	0.00711036	0	-1.05e+06	0	-0.0271276	
43	0.000166678	0.00727752	0	-1.05e+06	0	-0.0283684	
44	0.000166204	0.00744419	0	-1.05e+06	0	-0.0296333	
45	0.000165733	0.0076104	0	-1.05e+06	0	-0.0309221	
46	0.000165264	0.00777613	0	-1.05e+06	0	-0.0322345	
47	0.000164798	0.0079414	0	-1.05e+06	0	-0.0335704	
48	0.000164334	0.00810619	0	-1.05e+06	0	-0.0349295	
49	0.000163872	0.00827053	0	-1.05e+06	0	-0.0363117	
50	0.000163413	0.0084344	0	-1.05e+06	0	-0.0377167	
51	0.000162955	0.00859781	0	-1.05e+06	0	-0.0391443	
52	0.0001625	0.00876077	0	-1.05e+06	0	-0.0405943	
53	0.000162047	0.00892327	0	-1.05e+06	0	-0.0420666	
54	0.000161596	0.00908532	0	-1.05e+06	0	-0.0435608	
55	0.000161147	0.00924691	0	-1.05e+06	0	-0.0450769	
56	0.000160701	0.00940806	0	-1.05e+06	0	-0.0466146	
57	0.000160257	0.00956876	0	-1.05e+06	0	-0.0481737	
58	0.000159815	0.00972902	0	-1.05e+06	0	-0.0497541	
59	0.000159376	0.00988883	0	-1.05e+06	0	-0.0513556	
