Step	dt	Time	fbody_x	fbody_y	fbody_z	dy_tip	
0	1e-16	0	0	0	0	2.471e-07	
1	1e-16	0	0	-1.05e+06	0	2.471e-07	
2	0.000279285	1e-16	0	-1.05e+06	0	-7.77529e-05	
3	0.000279067	0.000279285	0	-1.05e+06	0	-0.000233571	
4	0.000278647	0.000558352	0	-1.05e+06	0	-0.000466798	
5	0.000278045	0.000836999	0	-1.05e+06	0	-0.00077683	
6	0.00027729	0.00111504	0	-1.05e+06	0	-0.00116291	
7	0.000276412	0.00139233	0	-1.05e+06	0	-0.00162417	
8	0.00027544	0.00166875	0	-1.05e+06	0	-0.00215968	
9	0.000274405	0.00194419	0	-1.05e+06	0	-0.00276847	
10	0.000273332	0.00221859	0	-1.05e+06	0	-0.0034496	
11	0.000272243	0.00249192	0	-1.05e+06	0	-0.00420212	
12	0.000271153	0.00276417	0	-1.05e+06	0	-0.00502516	
13	0.000270076	0.00303532	0	-1.05e+06	0	-0.00591786	
14	0.000269018	0.0033054	0	-1.05e+06	0	-0.00687944	
15	0.000267984	0.00357441	0	-1.05e+06	0	-0.00790915	
16	0.000266976	0.0038424	0	-1.05e+06	0	-0.00900625	
17	0.000265991	0.00410937	0	-1.05e+06	0	-0.0101701	
18	0.000265029	0.00437536	0	-1.05e+06	0	-0.0113999	
19	0.000264085	0.00464039	0	-1.05e+06	0	-0.0126951	
20	0.000263156	0.00490448	0	-1.05e+06	0	-0.014055	
21	0.00026224	0.00516763	0	-1.05e+06	0	-0.0154789	
22	0.000261332	0.00542987	0	-1.05e+06	0	-0.0169662	
23	0.000260432	0.00569121	0	-1.05e+06	0	-0.0185162	
24	0.000259536	0.00595164	0	-1.05e+06	0	-0.0201282	
25	0.000258645	0.00621117	0	-1.05e+06	0	-0.0218016	
26	0.000257756	0.00646982	0	-1.05e+06	0	-0.0235357	
27	0.000256871	0.00672758	0	-1.05e+06	0	-0.0253298	
28	0.000255989	0.00698445	0	-1.05e+06	0	-0.0271833	
29	0.000255112	0.00724044	0	-1.05e+06	0	-0.0290955	
30	0.000254239	0.00749555	0	-1.05e+06	0	-0.0310658	
31	0.000253371	0.00774979	0	-1.05e+06	0	-0.0330935	
32	0.000252509	0.00800316	0	-1.05e+06	0	-0.0351782	
33	0.000251655	0.00825567	0	-1.05e+06	0	-0.0373191	
34	0.000250807	0.00850732	0	-1.05e+06	0	-0.0395157	
35	0.000249967	0.00875813	0	-1.05e+06	0	-0.0417674	
36	0.000249135	0.0090081	0	-1.05e+06	0	-0.0440737	
37	0.000248311	0.00925723	0	-1.05e+06	0	-0.046434	
38	0.000247495	0.00950554	0	-1.05e+06	0	-0.0488479	
