Step	dt	Time	fbody_x	fbody_y	fbody_z	dy_tip	
0	1e-16	0	0	0	0	2.471e-07	
1	1e-16	0	0	-1.05e+06	0	2.471e-07	
2	0.000279285	1e-16	0	-1.05e+06	0	-7.77529e-05	
3	0.000279091	0.000279285	0	-1.05e+06	0	-0.000233591	
4	0.000278716	0.000558376	0	-1.05e+06	0	-0.000466902	
5	0.000278178	0.000837093	0	-1.05e+06	0	-0.000777146	
6	0.000277498	0.00111527	0	-1.05e+06	0	-0.00116364	
7	0.000276701	0.00139277	0	-1.05e+06	0	-0.00162558	
8	0.000275813	0.00166947	0	-1.05e+06	0	-0.00216211	
9	0.000274858	0.00194528	0	-1.05e+06	0	-0.00277234	
10	0.00027386	0.00222014	0	-1.05e+06	0	-0.00345535	
11	0.000272839	0.002494	0	-1.05e+06	0	-0.00421025	
12	0.000271809	0.00276684	0	-1.05e+06	0	-0.00503618	
13	0.000270784	0.00303865	0	-1.05e+06	0	-0.00593232	
14	0.000269773	0.00330943	0	-1.05e+06	0	-0.0068979	
15	0.000268781	0.00357921	0	-1.05e+06	0	-0.00793216	
16	0.00026781	0.00384799	0	-1.05e+06	0	-0.00903441	
17	0.000266862	0.0041158	0	-1.05e+06	0	-0.010204	
18	0.000265935	0.00438266	0	-1.05e+06	0	-0.0114402	
19	0.000265028	0.00464859	0	-1.05e+06	0	-0.0127424	
20	0.000264137	0.00491362	0	-1.05e+06	0	-0.0141101	
21	0.000263261	0.00517776	0	-1.05e+06	0	-0.0155425	
22	0.000262396	0.00544102	0	-1.05e+06	0	-0.017039	
23	0.00026154	0.00570342	0	-1.05e+06	0	-0.0185991	
24	0.00026069	0.00596496	0	-1.05e+06	0	-0.0202221	
25	0.000259845	0.00622564	0	-1.05e+06	0	-0.0219073	
26	0.000259003	0.00648549	0	-1.05e+06	0	-0.0236541	
27	0.000258165	0.00674449	0	-1.05e+06	0	-0.025462	
28	0.00025733	0.00700266	0	-1.05e+06	0	-0.0273302	
29	0.000256497	0.00725999	0	-1.05e+06	0	-0.0292582	
30	0.000255667	0.00751648	0	-1.05e+06	0	-0.0312452	
31	0.000254841	0.00777215	0	-1.05e+06	0	-0.0332908	
32	0.00025402	0.00802699	0	-1.05e+06	0	-0.0353944	
33	0.000253203	0.00828101	0	-1.05e+06	0	-0.0375553	
34	0.000252391	0.00853422	0	-1.05e+06	0	-0.0397729	
35	0.000251586	0.00878661	0	-1.05e+06	0	-0.0420468	
36	0.000250787	0.00903819	0	-1.05e+06	0	-0.0443764	
37	0.000249995	0.00928898	0	-1.05e+06	0	-0.0467611	
38	0.000249209	0.00953897	0	-1.05e+06	0	-0.0492004	
