Step	dt	Time	fbody_x	fbody_y	fbody_z	dy_tip	
0	1e-16	0	0	0	0	-3.41733e-07	
1	1e-16	0	0	-1.05e+06	0	-3.41733e-07	
2	0.00018619	1e-16	0	-1.05e+06	0	-3.50084e-05	
3	0.000186093	0.00018619	0	-1.05e+06	0	-0.000104288	
4	0.000185928	0.000372283	0	-1.05e+06	0	-0.000208075	
5	0.000185711	0.000558211	0	-1.05e+06	0	-0.00034623	
6	0.000185452	0.000743922	0	-1.05e+06	0	-0.000518584	
7	0.000185157	0.000929375	0	-1.05e+06	0	-0.000724947	
8	0.00018483	0.00111453	0	-1.05e+06	0	-0.000965108	
9	0.000184476	0.00129936	0	-1.05e+06	0	-0.00123884	
10	0.000184096	0.00148384	0	-1.05e+06	0	-0.0015459	
11	0.000183696	0.00166793	0	-1.05e+06	0	-0.00188604	
12	0.000183277	0.00185163	0	-1.05e+06	0	-0.00225899	
13	0.000182843	0.00203491	0	-1.05e+06	0	-0.00266449	
14	0.000182396	0.00221775	0	-1.05e+06	0	-0.00310226	
15	0.000181939	0.00240014	0	-1.05e+06	0	-0.00357204	
16	0.000181474	0.00258208	0	-1.05e+06	0	-0.00407356	
17	0.000181005	0.00276356	0	-1.05e+06	0	-0.00460654	
18	0.000180532	0.00294456	0	-1.05e+06	0	-0.00517072	
19	0.000180058	0.00312509	0	-1.05e+06	0	-0.00576583	
20	0.000179584	0.00330515	0	-1.05e+06	0	-0.00639164	
21	0.000179112	0.00348473	0	-1.05e+06	0	-0.00704787	
22	0.000178642	0.00366385	0	-1.05e+06	0	-0.0077343	
23	0.000178176	0.00384249	0	-1.05e+06	0	-0.00845069	
24	0.000177714	0.00402066	0	-1.05e+06	0	-0.0091968	
25	0.000177257	0.00419838	0	-1.05e+06	0	-0.00997241	
26	0.000176805	0.00437564	0	-1.05e+06	0	-0.0107773	
27	0.000176358	0.00455244	0	-1.05e+06	0	-0.0116113	
28	0.000175917	0.0047288	0	-1.05e+06	0	-0.0124741	
29	0.000175481	0.00490472	0	-1.05e+06	0	-0.0133656	
30	0.00017505	0.0050802	0	-1.05e+06	0	-0.0142855	
31	0.000174624	0.00525525	0	-1.05e+06	0	-0.0152337	
32	0.000174204	0.00542987	0	-1.05e+06	0	-0.0162099	
33	0.000173787	0.00560408	0	-1.05e+06	0	-0.0172141	
34	0.000173375	0.00577786	0	-1.05e+06	0	-0.0182459	
35	0.000172967	0.00595124	0	-1.05e+06	0	-0.0193051	
36	0.000172563	0.0061242	0	-1.05e+06	0	-0.0203917	
37	0.000172162	0.00629677	0	-1.05e+06	0	-0.0215054	
38	0.000171765	0.00646893	0	-1.05e+06	0	-0.0226461	
39	0.00017137	0.0066407	0	-1.05e+06	0	-0.0238135	
40	0.000170979	0.00681207	0	-1.05e+06	0	-0.0250074	
41	0.000170589	0.00698304	0	-1.05e+06	0	-0.0262277	
42	0.000170202	0.00715363	0	-1.05e+06	0	-0.0274743	
