Step	dt	Time	fbody_x	fbody_y	fbody_z	dy_tip	
0	1e-16	0	0	0	0	4.942e-07	
1	1e-16	0	0	-1.05e+06	0	4.942e-07	
2	0.00055857	1e-16	0	-1.05e+06	0	-0.000311506	
3	0.000558067	0.00055857	0	-1.05e+06	0	-0.000934664	
4	0.000557106	0.00111664	0	-1.05e+06	0	-0.00186712	
5	0.000555719	0.00167374	0	-1.05e+06	0	-0.00310607	
6	0.000553936	0.00222946	0	-1.05e+06	0	-0.0046479	
7	0.000551786	0.0027834	0	-1.05e+06	0	-0.0064882	
8	0.000549302	0.00333518	0	-1.05e+06	0	-0.00862196	
9	0.000546519	0.00388449	0	-1.05e+06	0	-0.0110436	
10	0.000543471	0.004431	0	-1.05e+06	0	-0.0137471	
11	0.000540195	0.00497448	0	-1.05e+06	0	-0.016726	
12	0.000536726	0.00551467	0	-1.05e+06	0	-0.0199739	
13	0.0005331	0.0060514	0	-1.05e+06	0	-0.0234841	
14	0.000529348	0.0065845	0	-1.05e+06	0	-0.0272497	
15	0.000525502	0.00711384	0	-1.05e+06	0	-0.0312639	
16	0.00052159	0.00763935	0	-1.05e+06	0	-0.0355203	
17	0.000517639	0.00816094	0	-1.05e+06	0	-0.0400122	
18	0.000513674	0.00867858	0	-1.05e+06	0	-0.0447333	
19	0.000509714	0.00919225	0	-1.05e+06	0	-0.0496775	
20	0.000505781	0.00970196	0	-1.05e+06	0	-0.054839	
21	0.000501889	0.0102077	0	-1.05e+06	0	-0.060212	
22	0.000498056	0.0107096	0	-1.05e+06	0	-0.0657913	
23	0.000494293	0.0112077	0	-1.05e+06	0	-0.0715717	
24	0.000490611	0.011702	0	-1.05e+06	0	-0.0775486	
25	0.000487022	0.0121926	0	-1.05e+06	0	-0.0837175	
26	0.000483533	0.0126796	0	-1.05e+06	0	-0.090074	
27	0.000480151	0.0131631	0	-1.05e+06	0	-0.0966144	
28	0.000476884	0.0136433	0	-1.05e+06	0	-0.103335	
29	0.000473736	0.0141202	0	-1.05e+06	0	-0.110232	
30	0.000470711	0.0145939	0	-1.05e+06	0	-0.117303	
31	0.000467815	0.0150646	0	-1.05e+06	0	-0.124544	
32	0.00046505	0.0155324	0	-1.05e+06	0	-0.131954	
33	0.00046242	0.0159975	0	-1.05e+06	0	-0.139529	
34	0.000459926	0.0164599	0	-1.05e+06	0	-0.147268	
