Step	dt	Time	fbody_x	fbody_y	fbody_z	dy_tip	
0	1e-16	0	0	0	0	1.44865e-07	
1	1e-16	0	0	-1.05e+06	0	1.44865e-07	
2	0.00018619	1e-16	0	-1.05e+06	0	-3.45218e-05	
3	0.000186125	0.00018619	0	-1.05e+06	0	-0.000103819	
4	0.000186006	0.000372315	0	-1.05e+06	0	-0.00020767	
5	0.000185837	0.000558321	0	-1.05e+06	0	-0.000345962	
6	0.000185621	0.000744158	0	-1.05e+06	0	-0.000518549	
7	0.000185363	0.000929779	0	-1.05e+06	0	-0.000725255	
8	0.000185064	0.00111514	0	-1.05e+06	0	-0.000965876	
9	0.000184727	0.00130021	0	-1.05e+06	0	-0.00124018	
10	0.000184356	0.00148493	0	-1.05e+06	0	-0.00154793	
11	0.000183952	0.00166929	0	-1.05e+06	0	-0.00188883	
12	0.000183519	0.00185324	0	-1.05e+06	0	-0.00226262	
13	0.00018306	0.00203676	0	-1.05e+06	0	-0.00266898	
14	0.000182578	0.00221982	0	-1.05e+06	0	-0.0031076	
15	0.000182076	0.0024024	0	-1.05e+06	0	-0.00357817	
16	0.000181556	0.00258447	0	-1.05e+06	0	-0.00408036	
17	0.000181021	0.00276603	0	-1.05e+06	0	-0.00461384	
18	0.000180473	0.00294705	0	-1.05e+06	0	-0.00517827	
19	0.000179916	0.00312752	0	-1.05e+06	0	-0.00577333	
20	0.00017935	0.00330744	0	-1.05e+06	0	-0.00639869	
21	0.000178778	0.00348679	0	-1.05e+06	0	-0.00705401	
22	0.000178203	0.00366557	0	-1.05e+06	0	-0.00773898	
23	0.000177625	0.00384377	0	-1.05e+06	0	-0.00845328	
24	0.000177045	0.00402139	0	-1.05e+06	0	-0.00919659	
25	0.000176466	0.00419844	0	-1.05e+06	0	-0.00996862	
26	0.000175889	0.00437491	0	-1.05e+06	0	-0.010769	
27	0.000175313	0.00455079	0	-1.05e+06	0	-0.0115976	
28	0.000174741	0.00472611	0	-1.05e+06	0	-0.012454	
29	0.000174173	0.00490085	0	-1.05e+06	0	-0.0133379	
30	0.000173609	0.00507502	0	-1.05e+06	0	-0.0142491	
31	0.000173049	0.00524863	0	-1.05e+06	0	-0.0151873	
32	0.000172496	0.00542168	0	-1.05e+06	0	-0.0161523	
33	0.000171947	0.00559417	0	-1.05e+06	0	-0.0171438	
34	0.000171404	0.00576612	0	-1.05e+06	0	-0.0181615	
35	0.000170867	0.00593753	0	-1.05e+06	0	-0.0192052	
36	0.000170336	0.00610839	0	-1.05e+06	0	-0.0202747	
37	0.00016981	0.00627873	0	-1.05e+06	0	-0.0213697	
38	0.00016929	0.00644854	0	-1.05e+06	0	-0.0224901	
39	0.000168776	0.00661783	0	-1.05e+06	0	-0.0236355	
40	0.000168267	0.0067866	0	-1.05e+06	0	-0.0248058	
41	0.000167764	0.00695487	0	-1.05e+06	0	-0.0260007	
42	0.000167266	0.00712264	0	-1.05e+06	0	-0.02722	
43	0.000166773	0.0072899	0	-1.05e+06	0	-0.0284636	
44	0.000166285	0.00745668	0	-1.05e+06	0	-0.0297312	
45	0.000165802	0.00762296	0	-1.05e+06	0	-0.0310226	
46	0.000165323	0.00778876	0	-1.05e+06	0	-0.0323376	
47	0.000164849	0.00795408	0	-1.05e+06	0	-0.033676	
48	0.000164378	0.00811893	0	-1.05e+06	0	-0.0350376	
49	0.000163912	0.00828331	0	-1.05e+06	0	-0.0364222	
50	0.00016345	0.00844722	0	-1.05e+06	0	-0.0378296	
51	0.000162991	0.00861067	0	-1.05e+06	0	-0.0392596	
52	0.000162536	0.00877367	0	-1.05e+06	0	-0.0407121	
53	0.000162085	0.0089362	0	-1.05e+06	0	-0.0421868	
54	0.000161637	0.00909829	0	-1.05e+06	0	-0.0436835	
55	0.000161192	0.00925992	0	-1.05e+06	0	-0.0452021	
56	0.00016075	0.00942112	0	-1.05e+06	0	-0.0467424	
57	0.000160312	0.00958187	0	-1.05e+06	0	-0.0483042	
58	0.000159876	0.00974218	0	-1.05e+06	0	-0.0498873	
59	0.000159443	0.00990205	0	-1.05e+06	0	-0.0514915	
