Step	dt	Time	fbody_x	fbody_y	fbody_z	dy_tip	
0	1e-16	0	0	0	0	2.38419e-08	
1	1e-16	0	0	-1.05e+06	0	2.38419e-08	
2	0.000279285	1e-16	0	-1.05e+06	0	-7.79762e-05	
3	0.000279122	0.000279285	0	-1.05e+06	0	-0.000233839	
4	0.000278826	0.000558406	0	-1.05e+06	0	-0.000467282	
5	0.000278417	0.000837232	0	-1.05e+06	0	-0.000777898	
6	0.000277909	0.00111565	0	-1.05e+06	0	-0.00116518	
7	0.000277312	0.00139356	0	-1.05e+06	0	-0.00162853	
8	0.000276637	0.00167087	0	-1.05e+06	0	-0.00216729	
9	0.000275892	0.00194751	0	-1.05e+06	0	-0.00278071	
10	0.000275087	0.0022234	0	-1.05e+06	0	-0.00346801	
11	0.00027423	0.00249849	0	-1.05e+06	0	-0.00422837	
12	0.000273331	0.00277272	0	-1.05e+06	0	-0.00506095	
13	0.000272397	0.00304605	0	-1.05e+06	0	-0.00596489	
14	0.000271436	0.00331845	0	-1.05e+06	0	-0.00693931	
15	0.000270455	0.00358988	0	-1.05e+06	0	-0.00798336	
16	0.000269461	0.00386034	0	-1.05e+06	0	-0.00909618	
17	0.000268459	0.0041298	0	-1.05e+06	0	-0.0102769	
18	0.000267453	0.00439826	0	-1.05e+06	0	-0.0115248	
19	0.00026645	0.00466571	0	-1.05e+06	0	-0.012839	
20	0.000265451	0.00493216	0	-1.05e+06	0	-0.0142187	
21	0.00026446	0.00519761	0	-1.05e+06	0	-0.0156632	
22	0.000263478	0.00546207	0	-1.05e+06	0	-0.0171717	
23	0.000262509	0.00572555	0	-1.05e+06	0	-0.0187436	
24	0.000261553	0.00598806	0	-1.05e+06	0	-0.0203782	
25	0.000260611	0.00624961	0	-1.05e+06	0	-0.0220749	
26	0.000259682	0.00651022	0	-1.05e+06	0	-0.0238329	
27	0.000258769	0.0067699	0	-1.05e+06	0	-0.0256517	
28	0.000257869	0.00702867	0	-1.05e+06	0	-0.0275307	
29	0.000256984	0.00728654	0	-1.05e+06	0	-0.0294692	
30	0.000256111	0.00754353	0	-1.05e+06	0	-0.0314668	
31	0.000255252	0.00779964	0	-1.05e+06	0	-0.0335228	
32	0.000254405	0.00805489	0	-1.05e+06	0	-0.0356368	
33	0.000253569	0.00830929	0	-1.05e+06	0	-0.037808	
34	0.000252744	0.00856286	0	-1.05e+06	0	-0.0400361	
35	0.000251929	0.00881561	0	-1.05e+06	0	-0.0423205	
36	0.000251124	0.00906753	0	-1.05e+06	0	-0.0446606	
37	0.000250327	0.00931866	0	-1.05e+06	0	-0.047056	
38	0.000249539	0.00956898	0	-1.05e+06	0	-0.0495061	
39	0.000248759	0.00981852	0	-1.05e+06	0	-0.0520104	
40	0.000247987	0.0100673	0	-1.05e+06	0	-0.0545685	
41	0.000247222	0.0103153	0	-1.05e+06	0	-0.0571798	
42	0.000246465	0.0105625	0	-1.05e+06	0	-0.0598438	
43	0.000245716	0.010809	0	-1.05e+06	0	-0.0625601	
44	0.000244974	0.0110547	0	-1.05e+06	0	-0.0653282	
45	0.00024424	0.0112996	0	-1.05e+06	0	-0.0681477	
46	0.000243514	0.0115439	0	-1.05e+06	0	-0.0710181	
47	0.000242796	0.0117874	0	-1.05e+06	0	-0.073939	
48	0.000242088	0.0120302	0	-1.05e+06	0	-0.07691	
49	0.00024139	0.0122723	0	-1.05e+06	0	-0.0799307	
50	0.000240701	0.0125137	0	-1.05e+06	0	-0.0830006	
51	0.000240024	0.0127544	0	-1.05e+06	0	-0.0861196	
52	0.000239359	0.0129944	0	-1.05e+06	0	-0.0892872	
53	0.000238707	0.0132338	0	-1.05e+06	0	-0.0925032	
54	0.000238069	0.0134725	0	-1.05e+06	0	-0.0957673	
55	0.000237445	0.0137105	0	-1.05e+06	0	-0.0990791	
56	0.000236838	0.013948	0	-1.05e+06	0	-0.102439	
57	0.000236247	0.0141848	0	-1.05e+06	0	-0.105846	
58	0.000235675	0.0144211	0	-1.05e+06	0	-0.1093	
59	0.000235121	0.0146567	0	-1.05e+06	0	-0.112801	
60	0.000234589	0.0148919	0	-1.05e+06	0	-0.11635	
61	0.000234078	0.0151265	0	-1.05e+06	0	-0.119945	
62	0.00023359	0.0153605	0	-1.05e+06	0	-0.123588	
63	0.000233126	0.0155941	0	-1.05e+06	0	-0.127277	
64	0.000232687	0.0158272	0	-1.05e+06	0	-0.131014	
65	0.000232275	0.0160599	0	-1.05e+06	0	-0.134798	
66	0.000231891	0.0162922	0	-1.05e+06	0	-0.13863	
67	0.000231535	0.0165241	0	-1.05e+06	0	-0.142509	
68	0.00023121	0.0167556	0	-1.05e+06	0	-0.146437	
69	0.000230915	0.0169868	0	-1.05e+06	0	-0.150412	
70	0.000230653	0.0172178	0	-1.05e+06	0	-0.154436	
71	0.000230425	0.0174484	0	-1.05e+06	0	-0.15851	
72	0.00023023	0.0176788	0	-1.05e+06	0	-0.162632	
73	0.00023007	0.0179091	0	-1.05e+06	0	-0.166805	
74	0.000229946	0.0181391	0	-1.05e+06	0	-0.171028	
75	0.000229803	0.0183691	0	-1.05e+06	0	-0.175301	
76	0.000229694	0.0185989	0	-1.05e+06	0	-0.179625	
77	0.00022962	0.0188286	0	-1.05e+06	0	-0.183999	
78	0.000229582	0.0190582	0	-1.05e+06	0	-0.188426	
