Step	dt	Time	fbody_x	fbody_y	fbody_z	dy_tip	
0	1e-16	0	0	0	0	1.44865e-07	
1	1e-16	0	0	-1.05e+06	0	1.44865e-07	
2	0.00018619	1e-16	0	-1.05e+06	0	-3.45218e-05	
3	0.000186125	0.00018619	0	-1.05e+06	0	-0.000103819	
4	0.000186006	0.000372315	0	-1.05e+06	0	-0.00020767	
5	0.000185839	0.000558321	0	-1.05e+06	0	-0.000345964	
6	0.00018563	0.00074416	0	-1.05e+06	0	-0.000518561	
7	0.000185386	0.00092979	0	-1.05e+06	0	-0.000725299	
8	0.000185109	0.00111518	0	-1.05e+06	0	-0.000965992	
9	0.000184803	0.00130028	0	-1.05e+06	0	-0.00124044	
10	0.000184473	0.00148509	0	-1.05e+06	0	-0.00154843	
11	0.000184121	0.00166956	0	-1.05e+06	0	-0.00188973	
12	0.00018375	0.00185368	0	-1.05e+06	0	-0.00226411	
13	0.000183362	0.00203743	0	-1.05e+06	0	-0.00267132	
14	0.000182959	0.00222079	0	-1.05e+06	0	-0.00311111	
15	0.000182543	0.00240375	0	-1.05e+06	0	-0.00358322	
16	0.000182115	0.0025863	0	-1.05e+06	0	-0.00408739	
17	0.000181679	0.00276841	0	-1.05e+06	0	-0.00462336	
18	0.000181233	0.00295009	0	-1.05e+06	0	-0.00519086	
19	0.000180781	0.00313132	0	-1.05e+06	0	-0.00578962	
20	0.000180322	0.0033121	0	-1.05e+06	0	-0.00641938	
21	0.000179859	0.00349243	0	-1.05e+06	0	-0.00707987	
22	0.000179391	0.00367228	0	-1.05e+06	0	-0.00777083	
23	0.000178919	0.00385167	0	-1.05e+06	0	-0.00849198	
24	0.000178445	0.00403059	0	-1.05e+06	0	-0.00924306	
25	0.000177969	0.00420904	0	-1.05e+06	0	-0.0100238	
26	0.000177491	0.00438701	0	-1.05e+06	0	-0.010834	
27	0.000177012	0.0045645	0	-1.05e+06	0	-0.0116733	
28	0.000176532	0.00474151	0	-1.05e+06	0	-0.0125415	
29	0.000176052	0.00491804	0	-1.05e+06	0	-0.0134383	
30	0.000175573	0.0050941	0	-1.05e+06	0	-0.0143635	
31	0.000175093	0.00526967	0	-1.05e+06	0	-0.0153168	
32	0.000174614	0.00544476	0	-1.05e+06	0	-0.0162981	
33	0.000174137	0.00561938	0	-1.05e+06	0	-0.0173069	
34	0.00017366	0.00579351	0	-1.05e+06	0	-0.0183432	
35	0.000173185	0.00596717	0	-1.05e+06	0	-0.0194066	
36	0.000172711	0.00614036	0	-1.05e+06	0	-0.0204969	
37	0.000172239	0.00631307	0	-1.05e+06	0	-0.021614	
38	0.000171769	0.00648531	0	-1.05e+06	0	-0.0227574	
39	0.000171301	0.00665708	0	-1.05e+06	0	-0.0239271	
40	0.000170835	0.00682838	0	-1.05e+06	0	-0.0251229	
41	0.000170371	0.00699921	0	-1.05e+06	0	-0.0263443	
42	0.00016991	0.00716958	0	-1.05e+06	0	-0.0275914	
43	0.000169452	0.00733949	0	-1.05e+06	0	-0.0288638	
44	0.000168996	0.00750894	0	-1.05e+06	0	-0.0301613	
45	0.000168543	0.00767794	0	-1.05e+06	0	-0.0314838	
46	0.000168092	0.00784648	0	-1.05e+06	0	-0.032831	
47	0.000167645	0.00801458	0	-1.05e+06	0	-0.0342027	
48	0.0001672	0.00818222	0	-1.05e+06	0	-0.0355987	
49	0.000166759	0.00834942	0	-1.05e+06	0	-0.0370189	
50	0.000166321	0.00851618	0	-1.05e+06	0	-0.038463	
51	0.000165886	0.0086825	0	-1.05e+06	0	-0.0399308	
52	0.000165454	0.00884839	0	-1.05e+06	0	-0.0414222	
53	0.000165026	0.00901384	0	-1.05e+06	0	-0.0429369	
54	0.000164602	0.00917887	0	-1.05e+06	0	-0.0444748	
55	0.00016418	0.00934347	0	-1.05e+06	0	-0.0460358	
56	0.000163763	0.00950765	0	-1.05e+06	0	-0.0476196	
57	0.000163349	0.00967141	0	-1.05e+06	0	-0.0492261	
58	0.000162939	0.00983476	0	-1.05e+06	0	-0.0508551	
59	0.000162533	0.0099977	0	-1.05e+06	0	-0.0525065	
