Step	dt	Time	fbody_x	fbody_y	fbody_z	dy_tip	
0	1e-16	0	0	0	0	1.44865e-07	
1	1e-16	0	0	-1.05e+06	0	1.44865e-07	
2	0.00018619	1e-16	0	-1.05e+06	0	-3.45218e-05	
3	0.000186093	0.00018619	0	-1.05e+06	0	-0.000103801	
4	0.00018592	0.000372283	0	-1.05e+06	0	-0.000207582	
5	0.000185687	0.000558203	0	-1.05e+06	0	-0.000345713	
6	0.000185407	0.00074389	0	-1.05e+06	0	-0.000518012	
7	0.000185091	0.000929298	0	-1.05e+06	0	-0.000724275	
8	0.000184746	0.00111439	0	-1.05e+06	0	-0.000964285	
9	0.000184379	0.00129913	0	-1.05e+06	0	-0.00123781	
10	0.000183995	0.00148351	0	-1.05e+06	0	-0.00154463	
11	0.000183598	0.00166751	0	-1.05e+06	0	-0.00188449	
12	0.000183192	0.00185111	0	-1.05e+06	0	-0.00225715	
13	0.000182778	0.0020343	0	-1.05e+06	0	-0.00266239	
14	0.000182359	0.00221708	0	-1.05e+06	0	-0.00309994	
15	0.000181936	0.00239943	0	-1.05e+06	0	-0.00356959	
16	0.00018151	0.00258137	0	-1.05e+06	0	-0.00407108	
17	0.000181083	0.00276288	0	-1.05e+06	0	-0.00460418	
18	0.000180655	0.00294396	0	-1.05e+06	0	-0.00516866	
19	0.000180228	0.00312462	0	-1.05e+06	0	-0.00576428	
20	0.0001798	0.00330485	0	-1.05e+06	0	-0.00639082	
21	0.000179373	0.00348465	0	-1.05e+06	0	-0.00704805	
22	0.000178947	0.00366402	0	-1.05e+06	0	-0.00773574	
23	0.000178523	0.00384297	0	-1.05e+06	0	-0.00845366	
24	0.000178099	0.00402149	0	-1.05e+06	0	-0.00920161	
25	0.000177678	0.00419959	0	-1.05e+06	0	-0.00997935	
26	0.000177258	0.00437727	0	-1.05e+06	0	-0.0107867	
27	0.00017684	0.00455452	0	-1.05e+06	0	-0.0116234	
28	0.000176424	0.00473136	0	-1.05e+06	0	-0.0124892	
29	0.00017601	0.00490779	0	-1.05e+06	0	-0.013384	
30	0.000175598	0.0050838	0	-1.05e+06	0	-0.0143076	
31	0.000175188	0.0052594	0	-1.05e+06	0	-0.0152596	
32	0.00017478	0.00543458	0	-1.05e+06	0	-0.01624	
33	0.000174374	0.00560936	0	-1.05e+06	0	-0.0172486	
34	0.00017397	0.00578374	0	-1.05e+06	0	-0.018285	
35	0.000173568	0.00595771	0	-1.05e+06	0	-0.0193492	
36	0.000173168	0.00613127	0	-1.05e+06	0	-0.0204409	
37	0.000172771	0.00630444	0	-1.05e+06	0	-0.02156	
38	0.000172375	0.00647721	0	-1.05e+06	0	-0.0227062	
39	0.000171982	0.00664959	0	-1.05e+06	0	-0.0238794	
40	0.000171591	0.00682157	0	-1.05e+06	0	-0.0250794	
41	0.000171202	0.00699316	0	-1.05e+06	0	-0.026306	
42	0.000170815	0.00716436	0	-1.05e+06	0	-0.0275589	
43	0.000170431	0.00733518	0	-1.05e+06	0	-0.0288381	
44	0.000170048	0.00750561	0	-1.05e+06	0	-0.0301433	
45	0.000169668	0.00767566	0	-1.05e+06	0	-0.0314744	
46	0.00016929	0.00784533	0	-1.05e+06	0	-0.0328312	
47	0.000168914	0.00801462	0	-1.05e+06	0	-0.0342135	
48	0.00016854	0.00818353	0	-1.05e+06	0	-0.0356212	
49	0.000168168	0.00835207	0	-1.05e+06	0	-0.037054	
50	0.000167799	0.00852024	0	-1.05e+06	0	-0.0385119	
51	0.000167433	0.00868804	0	-1.05e+06	0	-0.0399946	
52	0.000167068	0.00885547	0	-1.05e+06	0	-0.0415019	
53	0.000166706	0.00902254	0	-1.05e+06	0	-0.0430339	
54	0.000166347	0.00918924	0	-1.05e+06	0	-0.0445901	
55	0.00016599	0.00935559	0	-1.05e+06	0	-0.0461706	
56	0.000165636	0.00952158	0	-1.05e+06	0	-0.0477752	
57	0.000165284	0.00968722	0	-1.05e+06	0	-0.0494036	
58	0.000164936	0.0098525	0	-1.05e+06	0	-0.0510559	
59	0.00016459	0.0100174	0	-1.05e+06	0	-0.0527317	
60	0.000164247	0.010182	0	-1.05e+06	0	-0.0544311	
